,actualEncoding,allowGrammarAccess,changes,docElement,docType,documentNumber,domNormalizer,encoding,errorChecking,fConfiguration,fDocumentURI,fFreeNLCache,fXPathEvaluator,identifiers,kidOK,method_name,nodeCounter,nodeTable,standalone,userData,version,xml11Version,xmlVersionChanged
58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,createNotation,0,0,0,0,0,1,0
59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,createElementDefinition,0,0,0,0,0,1,0
60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,getNodeNumber,1,1,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,importNode,0,0,0,1,0,0,0
62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,adoptNode,0,0,0,1,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undeferChildren,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getElementById,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,clearIdentifiers,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,putIdentifier,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,getIdentifier,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,removeIdentifier,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,getIdentifiers,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createElementNS,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createAttributeNS,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getElementsByTagNameNS,0,0,0,0,0,0,0
73,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,clone,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isXMLName,0,0,0,0,0,1,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isValidQName,0,0,0,0,0,1,0
76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,isKidOK,0,0,0,0,0,0,0
77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,changed,0,0,0,0,0,0,0
78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,changes,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,getNodeListCache,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,freeNodeListCache,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,setUserData,0,0,0,1,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getUserData,0,0,0,1,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getUserDataRecord,0,0,0,1,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,removeUserDataTable,0,0,0,1,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,setUserDataTable,0,0,0,1,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,callUserDataHandlers,0,0,0,1,0,0,0
87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,checkNamespaceWF,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,checkDOMNSErr,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,checkQName,0,0,0,0,0,1,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isXML11Version,0,0,0,0,0,1,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isNormalizeDocRequired,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isXMLVersionChanged,0,0,0,0,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,addEventListener,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,removeEventListener,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,copyEventListeners,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dispatchEvent,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,replacedText,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deletedText,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,insertedText,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,modifyingCharacterData,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,modifiedCharacterData,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,insertingNode,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,insertedNode,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,removingNode,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,removedNode,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,replacingNode,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,replacedNode,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,replacingData,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,replacedCharacterData,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,modifiedAttrValue,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,setAttrNode,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,removedAttrNode,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renamedAttrNode,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renamedElement,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,readObject,0,1,0,1,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,writeObject,0,1,0,1,0,0,0
